"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Especialización en Gerencia del Desarrollo Sostenible en las Organizaciones","Posgrado","Especialización","","Virtual","2","24","16557000","","168000","116433","","","equisitos de Admisión 1","La Especialización en Gerencia del Desarrollo Sostenible en las Organizaciones es un programa de posgrado innovador y multidisciplinario diseñado para formar líderes.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-del-desarrollo-sostenible-de-las-organizaciones"
"Especialización en Gerencia de Proyectos con Enfoque en Habilidades Directivas Chía","Posgrado","Especialización","Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia de","Presencial","2","24","21799000","","168000","109333","","","equisitos de Admisión 1","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia de Proyectos con Enfoque en Habilidades Directivas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-de-proyectos-con-enfoque-en-habilidades-directivas-chia"
"Especialización en Gerencia Estratégica de Marca Chía","Posgrado","Especialización","","Presencial","2","24","22234000","","168000","105177","","","equisitos de Admisión 1","La Especialización en Gerencia Estratégica de Marca, adscrita a la Escuela Internacional de Ciencias Económicas y Administrativas de la Universidad de La Sabana.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-estrategica-de-marca-chia"
"Especialización en Gestión para el Desarrollo Humano en la Organización Chía","Posgrado","Especialización","","Presencial","2","24","19010000","","168000","5173","","","equisitos de Admisión 1","Pretende formar especialistas con un enfoque integral y de calidad, con competencias para analizar, explicar, investigar y orientar el desarrollo humano al interior de la organización.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gestion-para-el-desarrollo-humano-en-la-organizacion-chia"
"Especialización en Gestión para el Desarrollo Humano en la Organización Bogotá","Posgrado","Especialización","Instituto Forum, ubicado en la Carrera 69 #80 - 45, Bogotá","Presencial","2","24","19010000","","168000","","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Especialización en Gestión para el Desarrollo Humano en la Organización, adscrita a la Escuela Internacional de Ciencias Económicas y Administrativas de la Universidad de La Sabana.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gestion-para-el-desarrollo-humano-en-la-organizacion-bogota"
"Especialización en Gerencia Estratégica Bogotá","Posgrado","Especialización","Instituto Forum, ubicado en la Carrera 69 #80 - 45, Bogotá","Presencial","2","24","22234000","","168000","","","","equisitos de Admisión 1","Este posgrado responde a las necesidades de formación de profesionales, que quieran profundizar en el conocimiento propio del área de estrategia, dando énfasis al proceso de análisis estratégico.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-estrategica-bogota"
"Especialización en Gerencia Comercial Bogotá","Posgrado","Especialización","Instituto Forum, ubicado en la Carrera 69 #80 - 45, Bogotá","Presencial","2","24","22234000","","168000","11369","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Especialización en Gerencia Comercial de la Universidad de La Sabana es un posgrado orientado a formar líderes estratégicos de ingresos, capaces de diseñar.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-comercial-bogota"
"Especialización en Gerencia de Proyectos con enfoque en Habilidades Directivas Bogotá","Posgrado","Especialización","Instituto Forum, ubicado en la Carrera 69 #80 - 45, Bogotá","Presencial","2","24","21799000","","168000","109333","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la especialización en Gerencia de Proyectos con enfoque en habilidades directivas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-de-proyectos-con-enfoque-en-habilidades-bogota"
"Especialización en Gerencia de Producción y Operaciones Chía","Posgrado","Especialización","Escuela Internacional de Ciencias Económicas y Administrativas ofrece herramientas gerenciales para decisi","Presencial","2","1","18326000","","168000","2768","","","equisitos de Admisión: 1","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia de Producción y Operaciones.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-de-produccion-y-operaciones-chia"
"Especialización en Gerencia Financiera Internacional Bogotá","Posgrado","Especialización","Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia Fin","Presencial","2","24","19736000","","168000","106009","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia Financiera Internacional.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-financiera-internacional-bogota"
"Especialización en Gerencia Logística Bogotá","Posgrado","Especialización","Instituto Forum, ubicado en la Carrera 69 #80 - 45, Bogotá","Presencial","2","24","18326000","","168000","52333","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia Logística. Programa perteneciente al campo de la formación gerencial de la Universidad.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-logistica-bogota"
"Especialización en Gerencia Estratégica Ibagué","Posgrado","Especialización","","Presencial","2","24","11926000","","168000","101320","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia Estratégica.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-estrategica-ibague"
"Especialización en Gerencia Comercial con énfasis en Ventas Ibagué","Posgrado","Especialización","","Presencial","2","24","168000","","168000","101296","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la especialización en Gerencia Comercial.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-comercial-con-enfasis-en-ventas-ibague"
"Especialización en Gerencia Logística Bucaramanga","Posgrado","Especialización","Escuela Internacional de Ciencias Económicas y Administrativas con esta especialización forma profesionale","Presencial","2","24","12042000","","168000","102376","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia Logística, programa perteneciente al campo de la formación gerencial de la Universidad.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-logistica-bucaramanga"
"Especialización en Gerencia Comercial con énfasis en Ventas Bucaramanga","Posgrado","Especialización","","Presencial","2","24","13694000","","168000","91330","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","Este programa profundiza en el conocimiento de estrategias comerciales y utiliza herramientas para diseñar e implementar planes estratégicos de ventas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-comercial-con-enfasis-en-ventas-bucaramanga"
"Especialización en Gerencia Comercial - Chía | Universidad de La Sabana","Posgrado","Especialización","","Presencial","2","24","22234000","","168000","11369","","","equisitos de Admisión 1","La Especialización en Gerencia Comercial de la Universidad de La Sabana es un posgrado orientado a formar líderes estratégicos de ingresos, capaces de diseñar, ejecutar y optimizar.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-comercial"
"Especialización en Gerencia Estratégica Bucaramanga","Posgrado","Especialización","","Presencial","2","24","13694000","","168000","53819","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","Desarrollamos líderes con pensamiento estratégico, sistémico y complejo, capaces de anticipar y adaptarse a los cambios del entorno.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-estrategica-bucaramanga"
"Especialización en Gestión para el Desarrollo Humano en la Organización Bucaramanga","Posgrado","Especialización","","Presencial","2","24","12530000","","168000","53820","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Especialización en Gestión para el Desarrollo Humano en la Organización, adscrita a la Escuela Internacional de Ciencias Económicas y Administrativas de la Universidad de La Sabana.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gestion-para-el-desarrollo-humano-en-la-organizacion-bucaramanga"
"Especialización en Gerencia Logística Barranquilla","Posgrado","Especialización","Escuela Internacional de Ciencias Económicas y Administrativas (EICEA)","Presencial","2","24","15970000","","168000","109156","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","La Escuela Internacional de Ciencias Económicas y Administrativas presenta la Especialización en Gerencia Logística, programa perteneciente al campo de la formación gerencial de la Universidad.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-logistica-barranquilla"
"Especialización en Gerencia Comercial con énfasis en Ventas Barranquilla","Posgrado","Especialización","","Presencial","2","24","18181000","","168000","109470","","","equisitos de Admisión Haber aprobado la entrevista con el director del programa y haber cumplido con todos los pasos del proceso de inscripción","Profundiza en el conocimiento de estrategias comerciales y utiliza herramientas para diseñar e implementar planes estratégicos de ventas.","","https://www.unisabana.edu.co/programas/posgrados/especializacion-en-gerencia-comercial-con-enfasis-en-ventas-barranquilla"
